date,description,amount
2025-10-01,ACME CLIENT INVOICE PAYMENT,8500
2025-10-02,STRIPE PROCESSING FEE,-120
2025-10-03,RENT - 123 MAIN ST,-3200
2025-10-03,COMCAST BUSINESS INTERNET,-140
2025-10-04,ADOBE CREATIVE CLOUD,-59.99
2025-10-06,SQUARE POS FEE,-85
2025-10-08,AMAZON WEB SERVICES,-210
2025-10-10,GOOGLE ADS,-650
2025-10-12,OFFICE DEPOT,-73.45
2025-10-15,ACME CLIENT INVOICE PAYMENT,9100
2025-10-17,GUSTO PAYROLL,-4200
2025-10-20,CHASE BANK SERVICE FEE,-15
2025-10-22,UBER TRIP,-28.30
2025-10-25,GUSTO PAYROLL,-4150
2025-10-28,GOOGLE ADS,-700
2025-10-30,RENT - 123 MAIN ST,-3200
2025-11-01,ACME CLIENT INVOICE PAYMENT,8600
2025-11-03,RENT - 123 MAIN ST,-3200
2025-11-17,GUSTO PAYROLL,-4200
2025-11-04,ADOBE CREATIVE CLOUD,-59.99
2025-11-10,GOOGLE ADS,-650
2025-11-01,ACME CLIENT INVOICE PAYMENT,8600
2025-11-02,STRIPE PROCESSING FEE,-125
2025-11-03,RENT - 123 MAIN ST,-3200
2025-11-04,ADOBE CREATIVE CLOUD,-59.99
2025-11-06,SQUARE POS FEE,-90
2025-11-08,AMAZON WEB SERVICES,-215
2025-11-10,GOOGLE ADS,-640
2025-11-17,GUSTO PAYROLL,-4200
2025-11-20,CHASE BANK SERVICE FEE,-15
2025-11-30,RENT - 123 MAIN ST,-3200
2025-12-01,ACME CLIENT INVOICE PAYMENT,8800
2025-12-02,STRIPE PROCESSING FEE,-130
2025-12-03,RENT - 123 MAIN ST,-3200
2025-12-04,ADOBE CREATIVE CLOUD,-59.99
2025-12-08,AMAZON WEB SERVICES,-225
2025-12-10,GOOGLE ADS,-700
2025-12-17,GUSTO PAYROLL,-4200
2025-12-20,CHASE BANK SERVICE FEE,-15
2025-12-30,RENT - 123 MAIN ST,-3200
